Formatted Date,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2006-04-15,12.8,12.4,,10.4,241.0,12.1,1018.3
2006-04-16,14.3,14.3,0.71,15.9,228.0,12.4,1012.2
2006-04-17,13.4,13.3,0.73,11.9,295.0,12.0,1012.5
2006-04-18,14.2,14.2,0.73,6.8,137.0,10.4,1012.3
2006-04-19,13.9,13.9,0.82,12.5,117.0,10.7,1010.6
2006-04-20,12.5,12.4,0.93,5.3,199.0,4.3,1014.7
2006-04-21,13.2,13.2,0.89,6.8,170.0,5.9,1017.0
2006-04-22,13.9,13.9,0.82,4.3,220.0,8.7,1016.4
2006-04-23,15.9,15.8,0.72,4.4,202.0,8.8,1016.1
2006-04-24,17.1,17.1,0.66,3.0,202.0,9.7,1019.1
2006-04-25,17.3,17.3,0.67,8.1,132.0,11.7,1019.3
2006-04-26,18.0,18.0,0.65,6.7,105.0,11.8,1015.6
2006-04-27,16.3,16.3,0.78,7.7,130.0,11.1,1012.5
2006-04-28,16.6,16.6,0.64,13.4,129.0,11.9,
2006-04-29,13.8,13.8,0.57,20.8,150.0,11.9,1009.7
2006-04-30,13.8,13.6,0.54,15.3,140.0,12.5,1013.1
2006-05-01,12.2,12.2,0.81,10.5,197.0,10.7,1015.7
2006-05-02,13.7,13.7,0.76,10.2,150.0,11.3,1021.5
2006-05-03,13.5,13.5,0.73,8.0,119.0,12.2,1025.3
2006-05-04,12.9,12.5,0.64,9.8,131.0,12.3,1026.7
2006-05-05,13.7,13.3,0.6,8.9,115.0,11.8,1023.6
2006-05-06,10.7,10.2,0.75,11.7,203.0,12.2,1019.0
2006-05-07,12.6,12.3,0.76,8.0,221.0,11.5,1017.8
2006-05-08,13.6,13.6,0.77,4.9,251.0,12.2,1016.4
2006-05-09,14.9,14.9,0.7,5.5,157.0,10.2,1013.5
2006-05-10,15.0,15.0,0.65,12.2,88.0,11.9,1009.9
2006-05-11,12.0,11.5,0.81,10.3,249.0,10.7,1014.9
2006-05-12,14.9,14.9,0.68,5.3,187.0,10.1,1020.3
2006-05-13,17.0,16.9,0.6,11.5,154.0,11.9,1019.9
2006-05-14,17.1,17.1,0.67,10.0,224.0,12.4,1016.5
2006-05-15,15.8,15.8,0.77,9.7,205.0,11.8,1020.3
2006-05-16,18.4,18.4,0.63,9.7,188.0,11.8,1019.3
2006-05-17,16.5,16.5,0.79,13.5,265.0,12.6,1016.4
2006-05-18,18.0,18.0,0.67,8.4,212.0,11.6,1018.6
2006-05-19,18.2,18.2,0.73,14.1,271.0,12.3,1012.8
2006-05-20,18.5,18.5,0.74,4.5,239.0,12.2,1009.7
2006-05-21,17.7,17.7,0.71,8.7,128.0,12.6,1011.8
2006-05-22,20.8,20.8,0.64,7.6,182.0,12.4,1013.5
2006-05-23,23.3,23.2,0.61,8.6,197.0,11.9,1014.7
2006-05-24,17.9,17.9,0.77,17.9,328.0,11.7,1017.6
2006-05-25,15.5,15.5,0.7,9.2,278.0,12.2,1021.2
2006-05-26,17.3,17.3,0.7,8.4,270.0,12.3,1020.4
2006-05-27,,18.6,0.68,18.5,257.0,12.5,1018.1
2006-05-28,18.3,18.3,0.77,11.6,250.0,11.2,1014.3
2006-05-29,14.0,14.0,0.86,9.7,197.0,11.3,1012.1
2006-05-30,11.3,11.1,0.92,11.4,287.0,9.9,1003.2
2006-05-31,11.2,10.4,0.76,16.9,289.0,12.5,1010.4
2006-06-01,13.1,12.9,0.67,8.5,205.0,12.0,975.1
2006-06-02,11.4,11.2,0.93,17.1,95.0,10.7,1011.1
2006-06-03,12.2,12.1,0.88,8.6,205.0,12.3,1013.9
2006-06-04,12.2,12.2,0.94,10.0,282.0,8.7,1013.2
2006-06-05,12.4,11.8,0.72,15.3,283.0,12.0,1019.0
2006-06-06,13.9,13.9,0.72,7.8,236.0,11.4,979.8
2006-06-07,13.3,13.3,0.85,12.3,209.0,12.7,1021.7
2006-06-08,13.4,13.4,0.76,13.1,124.0,12.3,1023.8
2006-06-09,15.5,15.5,0.67,7.9,239.0,12.3,1022.2
2006-06-10,11.3,11.1,0.9,8.0,233.0,11.9,1019.8
2006-06-11,14.4,14.4,0.82,5.1,208.0,9.7,1026.4
2006-06-12,18.6,18.6,0.71,6.9,234.0,10.3,1025.2
2006-06-13,18.4,18.4,0.66,10.6,137.0,11.9,1021.2
2006-06-14,17.5,17.5,0.68,7.5,140.0,12.3,1017.2
2006-06-15,18.9,18.9,0.68,8.3,289.0,12.2,1017.9
2006-06-16,21.8,21.7,0.63,4.2,217.0,12.1,1017.9
2006-06-17,23.8,23.8,0.66,6.8,210.0,11.7,1017.1
2006-06-18,24.2,24.6,0.73,4.4,222.0,11.9,1017.7
2006-06-19,25.3,25.8,0.7,6.9,226.0,10.4,1015.7
2006-06-20,24.8,25.5,0.72,10.8,236.0,11.9,1015.4
2006-06-21,24.6,25.0,0.7,6.1,157.0,12.0,1015.8
2006-06-22,25.4,25.8,0.65,9.0,121.0,11.7,1013.3
2006-06-23,22.2,22.4,0.79,8.3,127.0,12.1,1014.5
2006-06-24,23.1,23.4,0.8,10.2,204.0,11.5,1016.3
2006-06-25,25.2,26.1,0.75,4.7,110.0,11.2,1016.8
2006-06-26,26.7,27.5,0.68,9.6,148.0,11.3,1016.5
2006-06-27,27.4,28.4,0.67,6.8,146.0,11.4,1016.2
2006-06-28,26.2,27.1,0.7,8.4,184.0,12.0,1015.8
2006-06-29,23.5,24.0,0.78,8.9,120.0,11.6,1016.8
2006-06-30,20.0,20.0,0.87,12.8,257.0,12.1,1017.7
2006-07-01,19.2,19.2,0.88,7.6,213.0,12.0,1018.0
2006-07-02,19.6,19.6,0.9,8.9,59.0,11.7,1018.5
2006-07-03,19.1,19.1,0.87,6.0,214.0,9.8,1021.0
2006-07-04,20.4,20.4,0.68,5.7,109.0,10.0,1022.2
2006-07-05,21.8,21.6,0.63,6.2,78.0,10.6,980.5
2006-07-06,23.2,23.0,0.61,6.9,139.0,11.9,1021.5
2006-07-07,24.8,24.4,0.55,11.0,125.0,12.1,1016.5
2006-07-08,23.1,23.0,0.66,7.8,179.0,11.7,973.8
2006-07-09,22.1,22.0,0.72,5.9,178.0,11.9,1018.3
2006-07-10,24.0,23.8,0.64,6.4,207.0,11.3,1021.3
2006-07-11,24.5,24.4,0.64,5.4,135.0,11.7,1021.4
2006-07-12,24.2,24.1,0.63,8.8,121.0,12.1,976.7
2006-07-13,23.7,23.5,0.68,9.1,75.0,12.1,1017.3
2006-07-14,24.2,24.3,0.67,7.8,202.0,11.8,1017.0
2006-07-15,23.0,23.0,0.53,12.7,107.0,11.9,1020.6
2006-07-16,20.3,20.3,0.48,11.4,188.0,12.4,1022.4
2006-07-17,20.0,20.0,0.52,11.2,202.0,12.2,1022.6
2006-07-18,21.5,21.2,0.54,7.5,199.0,11.6,979.9
2006-07-19,24.2,23.8,0.54,7.2,275.0,11.2,596.1
2006-07-20,25.9,25.5,0.57,3.8,228.0,11.4,808.2
2006-07-21,26.7,26.7,0.6,4.6,212.0,12.0,1019.6
2006-07-22,26.4,26.5,0.62,8.5,174.0,11.9,1017.1
2006-07-23,24.8,25.3,0.74,4.8,226.0,10.2,1016.6
2006-07-24,24.8,25.4,0.74,5.2,210.0,10.5,1017.2
2006-07-25,25.7,25.8,0.66,5.6,241.0,11.2,1016.9
2006-07-26,26.2,26.8,0.68,6.4,146.0,11.0,1016.2
2006-07-27,26.7,26.9,0.65,5.2,225.0,11.2,1014.9
2006-07-28,27.1,27.1,,3.9,176.0,11.1,1011.0
2006-07-29,26.1,26.3,0.64,8.0,150.0,11.6,1008.0
2006-07-30,23.0,23.2,0.79,8.6,230.0,11.5,969.0
2006-07-31,25.1,25.1,0.68,4.9,282.0,10.7,1012.7
2006-08-01,25.8,26.0,0.63,7.8,173.0,11.9,1009.5
2006-08-02,20.8,20.8,,10.6,292.0,12.5,1009.0
2006-08-03,20.0,20.0,0.83,8.4,177.0,11.2,1005.5
2006-08-04,18.3,18.3,0.92,7.2,262.0,10.3,963.7
2006-08-05,16.9,16.9,0.83,8.0,282.0,10.3,841.8
2006-08-06,18.6,18.6,0.76,8.0,183.0,11.2,1010.7
2006-08-07,18.8,18.8,0.82,8.3,237.0,11.1,1005.6
2006-08-08,18.4,18.4,0.84,13.2,281.0,11.2,1005.9
2006-08-09,19.7,19.7,0.75,8.8,277.0,12.0,1009.5
2006-08-10,18.9,18.9,0.79,9.0,291.0,11.9,1009.4
2006-08-11,19.8,19.8,0.68,11.9,284.0,12.2,1008.3
2006-08-12,18.5,18.5,0.78,9.0,165.0,11.8,1007.8
2006-08-13,18.3,18.3,0.89,7.0,174.0,9.9,1009.3
2006-08-14,18.8,18.8,0.82,7.2,200.0,10.3,970.3
2006-08-15,19.5,19.5,0.75,6.9,213.0,12.5,972.6
2006-08-16,21.6,21.6,0.64,10.9,135.0,12.0,1014.0
2006-08-17,24.0,24.1,0.67,10.6,161.0,12.2,970.1
2006-08-18,24.9,25.3,0.7,11.2,192.0,11.8,971.2
2006-08-19,25.1,25.4,0.69,9.2,205.0,11.8,1017.3
2006-08-20,26.0,26.6,0.66,8.9,232.0,12.2,1016.1
2006-08-21,19.0,19.0,0.79,9.8,269.0,12.2,1017.2
2006-08-22,19.0,19.0,0.69,10.5,289.0,11.6,931.1
2006-08-23,17.5,17.5,0.77,10.0,264.0,11.6,1016.2
2006-08-24,19.3,19.3,0.66,7.2,154.0,10.7,929.1
2006-08-25,19.2,19.2,0.75,8.7,213.0,11.6,799.3
2006-08-26,18.6,18.6,0.72,6.9,280.0,11.8,757.8
2006-08-27,19.7,19.7,,5.4,259.0,11.7,758.2
2006-08-28,16.7,16.7,0.84,10.6,275.0,11.1,799.6
2006-08-29,15.0,15.0,0.8,13.0,241.0,11.6,755.7
2006-08-30,12.9,12.9,0.9,11.6,254.0,11.4,674.5
2006-08-31,14.3,14.3,0.78,22.8,289.0,11.6,720.6
2006-09-01,15.5,15.5,0.7,11.1,281.0,11.7,850.3
2006-09-02,17.4,17.4,0.77,4.3,213.0,10.0,891.5
2006-09-03,19.9,19.9,0.74,8.2,205.0,10.2,976.9
2006-09-04,23.4,23.6,0.69,13.7,259.0,11.9,892.0
2006-09-05,21.7,21.7,0.63,17.6,303.0,11.9,765.3
2006-09-06,18.3,18.3,0.65,9.7,294.0,11.0,850.5
2006-09-07,19.7,19.7,0.71,7.0,146.0,10.5,1018.3
2006-09-08,17.4,17.4,0.72,17.0,261.0,12.1,1018.9
2006-09-09,15.1,15.0,0.67,4.6,190.0,12.3,1027.8
2006-09-10,16.0,15.9,0.64,8.5,112.0,11.4,943.6
2006-09-11,16.4,16.3,0.65,4.5,92.0,11.9,1027.6
2006-09-12,16.4,16.4,0.65,5.9,84.0,9.4,897.5
2006-09-13,18.5,18.5,0.57,12.3,104.0,11.4,809.9
2006-09-14,19.4,19.3,0.56,15.9,136.0,11.6,806.7
2006-09-15,20.4,20.4,0.52,14.6,105.0,11.9,803.9
2006-09-16,20.8,20.8,0.55,14.5,101.0,11.4,761.3
2006-09-17,19.8,19.8,0.63,17.9,126.0,11.2,633.9
2006-09-18,19.9,19.9,0.68,12.3,138.0,11.5,801.2
2006-09-19,17.3,17.3,0.91,6.7,129.0,8.6,675.2
2006-09-20,17.8,17.8,0.91,9.1,302.0,5.4,719.9
2006-09-21,17.9,17.9,0.75,10.8,68.0,10.0,934.7
2006-09-22,16.6,16.6,0.6,15.4,76.0,11.6,1018.1
2006-09-23,16.4,16.1,0.69,11.3,75.0,12.0,1018.8
2006-09-24,16.5,16.5,0.74,5.4,131.0,10.9,1018.3
2006-09-25,18.5,18.5,0.67,10.1,111.0,10.8,1015.0
2006-09-26,19.1,19.1,0.59,10.4,84.0,11.8,1012.3
2006-09-27,17.5,17.5,0.77,4.7,125.0,11.6,1012.6
2006-09-28,16.9,16.9,0.78,6.8,217.0,10.9,1011.7
2006-09-29,16.9,16.9,0.78,4.5,235.0,8.8,1014.2
2006-09-30,17.8,17.8,0.76,2.8,133.0,7.8,1016.5
2006-10-01,18.2,18.2,,6.7,165.0,9.4,1017.4
2006-10-02,18.7,18.7,0.77,9.8,188.0,11.2,1016.6
2006-10-03,20.9,20.8,0.66,17.1,190.0,9.7,1010.5
2006-10-04,17.9,17.9,0.77,9.9,233.0,11.4,1010.7
2006-10-05,14.1,14.1,0.86,6.4,259.0,10.3,1018.8
2006-10-06,12.8,12.6,0.75,7.6,265.0,10.1,1021.1
2006-10-07,12.1,11.9,0.79,5.4,137.0,9.3,1017.6
2006-10-08,13.0,12.8,0.8,9.6,250.0,11.9,978.9
2006-10-09,12.8,12.6,0.75,6.3,140.0,10.0,1024.6
2006-10-10,12.8,12.7,0.77,5.4,160.0,10.2,1024.5
2006-10-11,13.8,13.7,0.74,7.7,108.0,10.5,1022.4
2006-10-12,13.9,13.7,0.67,10.0,131.0,12.1,981.4
2006-10-13,11.9,11.8,0.75,2.8,91.0,10.6,1028.0
2006-10-14,11.8,11.5,0.77,4.4,145.0,8.9,1029.7
2006-10-15,11.7,11.6,0.78,6.9,257.0,8.9,1025.4
2006-10-16,10.1,8.8,0.63,18.0,58.0,11.2,1023.9
2006-10-17,5.8,4.6,0.67,6.9,127.0,11.8,1025.4
2006-10-18,7.3,6.2,0.69,9.8,136.0,11.2,1021.6
2006-10-19,8.3,6.7,0.6,15.3,142.0,11.2,1016.1
2006-10-20,9.4,8.1,0.69,10.5,157.0,11.8,1012.2
2006-10-21,14.2,13.8,0.59,8.5,155.0,12.0,
2006-10-22,13.6,13.6,0.86,7.5,145.0,11.7,1014.2
2006-10-23,16.8,16.7,0.74,11.9,180.0,10.8,1012.7
2006-10-24,18.1,18.1,0.72,12.8,195.0,11.0,1010.0
2006-10-25,13.9,13.8,0.79,7.0,234.0,11.3,1018.3
2006-10-26,14.4,14.4,0.68,7.1,118.0,11.7,979.9
2006-10-27,14.7,14.4,0.72,7.8,202.0,10.7,1022.4
2006-10-28,14.3,14.2,0.81,10.7,299.0,8.7,1023.7
2006-10-29,13.0,13.0,0.89,14.9,242.0,9.1,1012.9
2006-10-30,5.7,3.1,0.63,19.5,159.0,12.1,
2006-10-31,2.1,0.3,0.65,7.0,182.0,11.1,1022.0
2006-11-01,4.4,2.2,0.83,9.7,233.0,8.3,1011.9
2006-11-02,2.6,-2.4,0.6,25.8,308.0,11.4,1017.8
2006-11-03,-1.3,-5.5,0.74,13.5,304.0,12.0,1023.2
2006-11-04,0.1,-4.6,0.75,17.9,279.0,9.9,1026.9
2006-11-05,6.8,2.7,0.81,26.1,268.0,10.6,1020.3
2006-11-06,9.6,7.1,0.8,25.2,296.0,12.5,1020.4
2006-11-07,8.2,6.7,0.74,15.5,253.0,10.2,1024.7
2006-11-08,6.9,6.2,0.82,6.6,186.0,4.7,1025.6
2006-11-09,10.5,9.7,0.77,12.4,250.0,9.2,1022.6
2006-11-10,5.9,3.0,0.7,18.2,290.0,12.3,1029.0
2006-11-11,4.3,1.4,0.74,12.9,213.0,12.2,1025.5
2006-11-12,5.6,3.4,0.85,10.7,225.0,11.4,885.5
2006-11-13,5.7,2.3,0.74,19.6,257.0,12.4,1013.9
2006-11-14,9.4,8.3,0.78,11.9,229.0,11.8,1016.4
2006-11-15,10.2,9.5,0.79,8.7,207.0,9.0,1021.9
2006-11-16,11.0,10.1,0.75,11.6,178.0,8.9,1020.7
2006-11-17,11.7,11.0,0.71,11.0,158.0,9.7,1019.8
2006-11-18,11.0,10.0,0.72,11.6,155.0,9.9,1022.3
2006-11-19,10.3,9.4,0.79,11.8,165.0,8.4,1024.0
2006-11-20,8.8,7.5,0.85,10.2,151.0,6.5,849.5
2006-11-21,8.6,6.9,0.92,11.8,156.0,5.1,926.4
2006-11-22,9.5,8.1,0.83,15.5,122.0,10.8,
2006-11-23,8.8,7.3,0.93,11.3,163.0,5.8,1007.4
2006-11-24,6.6,5.3,0.94,7.8,133.0,3.0,1018.6
2006-11-25,9.2,7.6,0.84,16.1,151.0,8.1,1021.6
2006-11-26,9.2,7.8,0.85,11.9,144.0,9.3,1026.0
2006-11-27,6.3,5.7,0.9,4.1,51.0,3.4,1028.2
2006-11-28,3.8,3.6,0.98,4.0,102.0,0.5,1028.4
2006-11-29,4.0,3.7,0.98,3.8,188.0,1.6,772.8
2006-11-30,6.5,5.9,0.93,4.8,226.0,3.3,1037.3
2006-12-01,6.8,6.2,0.94,5.4,115.0,3.8,1036.5
2006-12-02,4.9,3.8,0.87,6.6,129.0,6.4,1030.6
2006-12-03,1.6,-0.4,0.94,8.8,133.0,3.3,1023.8
2006-12-04,8.1,6.7,0.83,10.3,200.0,9.1,1015.5
2006-12-05,7.3,6.0,0.95,8.4,172.0,3.3,1018.3
2006-12-06,8.2,6.3,0.87,14.4,154.0,7.1,1016.6
2006-12-07,7.5,6.1,0.86,7.8,153.0,8.9,1017.5
2006-12-08,8.9,7.5,0.82,13.6,148.0,8.0,1015.9
2006-12-09,9.6,8.0,0.75,20.4,152.0,10.2,1014.6
2006-12-10,6.1,4.2,0.91,9.9,239.0,10.2,1026.1
2006-12-11,2.8,2.0,0.92,4.6,186.0,6.2,1031.2
2006-12-12,1.4,-1.4,0.97,9.8,160.0,1.2,1029.6
2006-12-13,-0.3,-4.0,0.98,11.3,208.0,0.3,1033.8
2006-12-14,-0.3,-4.0,0.98,11.9,199.0,0.9,1036.7
2006-12-15,-1.1,-1.7,0.98,3.9,117.0,0.2,949.5
2006-12-16,-1.3,-2.0,0.98,4.2,142.0,0.3,1031.2
2006-12-17,-0.4,-1.3,0.98,4.7,119.0,1.1,1027.6
2006-12-18,2.0,-1.8,0.92,16.4,60.0,5.1,1024.0
2006-12-19,2.2,-2.2,0.89,19.0,25.0,7.4,1025.5
2006-12-20,0.7,-2.3,0.81,11.2,290.0,9.4,1031.6
2006-12-21,0.9,-0.8,0.88,6.8,149.0,7.0,1037.2
2006-12-22,1.3,-0.5,0.9,6.6,282.0,6.6,1041.4
2006-12-23,0.4,-2.3,0.92,8.7,270.0,3.5,1041.4
2006-12-24,2.1,0.1,0.9,7.5,258.0,3.4,1036.8
2006-12-25,2.4,0.2,0.92,8.7,275.0,5.3,1032.2
2006-12-26,-1.1,-2.7,0.82,6.6,133.0,9.1,1037.3
2006-12-27,-2.0,-4.5,0.83,7.3,204.0,10.1,1036.6
2006-12-28,-4.7,-7.6,0.97,7.3,194.0,0.8,1030.9
2006-12-29,-1.5,-4.0,0.94,7.7,261.0,4.0,1031.4
2006-12-30,-1.7,-5.2,0.9,9.9,142.0,4.3,994.6
2006-12-31,-2.0,-5.2,0.92,9.1,168.0,4.3,1035.6
2007-01-01,3.8,0.5,0.89,14.6,187.0,7.4,1025.1
2007-01-02,2.9,0.4,0.93,11.3,267.0,10.6,1017.3
2007-01-03,2.9,-0.7,0.82,17.2,316.0,12.2,1022.0
2007-01-04,2.5,0.3,0.86,9.1,206.0,11.7,979.4
2007-01-05,5.6,2.9,0.82,13.8,250.0,9.8,1020.1
2007-01-06,6.9,5.0,0.82,11.5,245.0,10.1,981.9
2007-01-07,4.7,2.3,0.88,11.0,207.0,6.3,1022.5
2007-01-08,5.5,3.9,0.9,9.4,188.0,8.6,977.8
2007-01-09,7.3,6.0,0.87,8.4,191.0,10.4,1022.0
2007-01-10,9.0,7.8,0.84,11.0,181.0,10.6,1025.8
2007-01-11,7.3,5.4,0.89,12.5,213.0,9.0,1021.7
2007-01-12,7.2,4.4,0.74,21.8,274.0,11.3,1019.0
2007-01-13,7.2,5.1,0.72,13.9,227.0,11.7,1024.3
2007-01-14,7.2,5.7,0.75,12.7,249.0,11.7,1026.2
2007-01-15,4.4,2.6,0.76,10.0,249.0,10.4,1032.7
2007-01-16,1.9,-0.7,0.85,9.3,170.0,7.9,1027.7
2007-01-17,3.2,0.8,0.86,9.5,177.0,6.6,1026.0
2007-01-18,7.9,6.0,0.79,20.8,202.0,9.4,847.0
